n_stars,softening_rh,seed,initial_alpha_global,final_alpha_global,initial_alpha_contrast_outer_minus_inner,final_alpha_contrast_outer_minus_inner,delta_alpha_contrast,initial_radius_ratio_low_to_high,final_radius_ratio_low_to_high,delta_radius_ratio,relative_energy_error,energy_pass,replicate
256,0.005,2026081326,2.247,2.247,0.16199999999999992,0.29300000000000015,0.13100000000000023,1.2889293893375715,1.1250838628542221,-0.16384552648334938,-0.00022457225012127618,True,3
256,0.005,2026081327,2.3120000000000003,2.3120000000000003,0.36099999999999977,0.6009999999999995,0.23999999999999977,1.2260692201103973,1.1939297340756836,-0.03213948603471373,-0.005758250824977454,False,4
256,0.005,2026081328,2.231,2.231,0.1379999999999999,0.601,0.4630000000000001,1.0857270174058102,1.273441524334751,0.18771450692894076,-0.00012969413174473073,True,5
256,0.005,2026081329,2.162,2.162,-0.28000000000000025,0.041999999999999815,0.32200000000000006,0.9302396102382672,0.9405159322862848,0.01027632204801765,-0.0015077403817986882,False,6
256,0.005,2026081330,2.414,2.414,-0.10800000000000054,0.5660000000000003,0.6740000000000008,0.9373995893952322,1.1523585854204412,0.21495899602520907,-0.00011860863852193209,True,7
256,0.005,2026081331,2.189,2.189,-0.10400000000000009,0.10799999999999965,0.21199999999999974,0.8646914597978596,0.9155180034125359,0.05082654361467631,-0.00017035713902795982,True,8
256,0.01,2026081332,2.479,2.479,0.2799999999999998,0.2650000000000001,-0.01499999999999968,1.0895764220981357,1.2728733305575297,0.18329690845939406,-0.0011976386688768896,False,1
256,0.01,2026081333,2.473,2.473,-0.19399999999999995,0.4079999999999999,0.6019999999999999,0.9427381905607652,1.1662722659704836,0.22353407540971837,-0.0006592783992488364,True,2
256,0.01,2026081334,2.316,2.316,-0.11300000000000043,0.7080000000000002,0.8210000000000006,1.0285746271633716,1.3042580928815752,0.2756834657182037,-0.00043325183541691837,True,3
256,0.01,2026081335,2.4539999999999997,2.4539999999999997,0.2939999999999996,0.5840000000000001,0.2900000000000005,1.0259526694586647,1.1144831884336213,0.08853051897495656,0.00022333526044092026,True,4
