phi0,g,delta,rh_pc,rt_pc,converged,nll,error,seconds,iteration
4.0,1.0,0.15,8.0,36.52706825122671,True,1412.2047768914256,,0.2063003999646753,1
4.0,1.0,0.15,10.0,45.65883531403339,True,1498.7642455652692,,0.20704769995063543,1
4.0,1.0,0.3,2.0,9.863235026872738,True,1815.5438532319947,,0.23119659977965057,1
4.0,1.0,0.3,3.0,14.794852540309108,True,1321.8617394214907,,0.2277597999200225,1
4.0,1.0,0.3,4.0,19.726470053745476,True,1262.8922806935852,,0.23009130009450018,1
4.0,1.0,0.3,5.0,24.658087567181845,True,1280.866958901118,,0.2294120998121798,1
4.0,1.0,0.3,6.0,29.589705080618216,True,1320.084913627854,,0.22881180001422763,1
4.0,1.0,0.3,8.0,39.45294010749095,True,1408.9923509870769,,0.23404949996620417,1
4.0,1.0,0.3,10.0,49.31617513436369,True,1490.4457846639611,,0.22909460007213056,1
4.0,1.0,0.45,2.0,11.047834741727117,True,1597.4784387169072,,0.2614440000616014,1
4.0,1.0,0.45,3.0,16.571752112590676,True,1303.1359469740323,,0.2610120999161154,1
4.0,1.0,0.45,4.0,22.095669483454234,True,1269.3264897032627,,0.2596082000527531,1
4.0,1.0,0.45,5.0,27.61958685431779,True,1289.4832994885678,,0.26031140005216,1
4.0,1.0,0.45,6.0,33.14350422518135,True,1323.6518667141265,,0.25669170008040965,1
4.0,1.0,0.45,8.0,44.19133896690847,True,1398.093185129459,,0.2637877999804914,1
4.0,1.0,0.45,10.0,55.23917370863558,True,1466.942802658975,,0.2638996997848153,1
4.0,1.0,0.6,2.0,11.72079041226305,True,1532.538414580457,,0.3722016999963671,1
4.0,1.0,0.6,3.0,17.581185618394574,True,1309.4620675712533,,0.36845629988238215,1
4.0,1.0,0.6,4.0,23.4415808245261,True,1289.5843583600217,,0.3643686000723392,1
4.0,1.0,0.6,5.0,29.301976030657627,True,1307.8528879262044,,0.36732569988816977,1
4.0,1.0,0.6,6.0,35.16237123678915,True,1334.4364122871361,,0.3702136999927461,1
4.0,1.0,0.6,8.0,46.8831616490522,True,1386.536192607005,,0.38257130002602935,1
4.0,1.0,0.6,10.0,58.603952061315255,True,1432.1033166779405,,0.3744406998157501,1
4.0,2.0,0.0,2.0,18.575265129362684,True,1567.0378186015387,,0.16252989997155964,1
4.0,2.0,0.0,3.0,27.862897694044026,True,1327.3549217315488,,0.15316530014388263,1
4.0,2.0,0.0,4.0,37.15053025872537,True,1269.8403758543514,,0.1512882998213172,1
4.0,2.0,0.0,5.0,46.43816282340671,True,1274.902114346793,,0.15195710002444685,1
4.0,2.0,0.0,6.0,55.72579538808805,True,1304.5517465321404,,0.15440639993175864,1
4.0,2.0,0.0,8.0,74.30106051745074,True,1386.294436757093,,0.15240660007111728,1
4.0,2.0,0.0,10.0,92.87632564681341,True,1468.7239508282976,,0.15630319993942976,1
4.0,2.0,0.15,2.0,19.950913534010844,True,1531.5021445407485,,0.2296819998882711,1
4.0,2.0,0.15,3.0,29.926370301016263,True,1315.988990663526,,0.22831729985773563,1
4.0,2.0,0.15,4.0,39.90182706802169,True,1266.1568154190918,,0.22786410013213754,1
4.0,2.0,0.15,5.0,49.87728383502711,True,1273.826569372868,,0.23331399983726442,1
4.0,2.0,0.15,6.0,59.852740602032526,True,1304.0575646680209,,0.23783080000430346,1
4.0,2.0,0.15,8.0,79.80365413604338,True,1385.083661246874,,0.23718039994128048,1
4.0,2.0,0.15,10.0,99.75456767005421,True,1466.0762203795937,,0.2358286001253873,1
4.0,2.0,0.3,2.0,23.141674286862703,True,1484.0605566918068,,0.25533160008490086,1
4.0,2.0,0.3,3.0,34.71251143029405,True,1304.7851438340733,,0.2539540999568999,1
4.0,2.0,0.3,4.0,46.283348573725405,True,1265.3442067178564,,0.25405990006402135,1
4.0,2.0,0.3,5.0,57.85418571715676,True,1274.5151666382083,,0.25332389981485903,1
4.0,2.0,0.3,6.0,69.4250228605881,True,1303.2953912475107,,0.25067520001903176,1
4.0,2.0,0.3,8.0,92.56669714745081,True,1378.5432786139042,,0.2443259998690337,1
4.0,2.0,0.3,10.0,115.70837143431352,True,1454.6230382450804,,0.25073660002090037,1
4.0,2.0,0.45,2.0,30.676206066246657,True,1434.6456539531516,,0.27338559995405376,1
4.0,2.0,0.45,3.0,46.01430909936998,True,1302.5758888140138,,0.27773369988426566,1
4.0,2.0,0.45,4.0,61.35241213249331,True,1271.9725541685557,,0.27614580001682043,1
4.0,2.0,0.45,5.0,76.69051516561665,True,1278.2819515103806,,0.27831989992409945,1
4.0,2.0,0.45,6.0,92.02861819873996,True,1300.4341755923672,,0.273989399895072,1
4.0,2.0,0.45,8.0,122.70482426498663,True,1360.8513679365856,,0.2787603000178933,1
4.0,2.0,0.45,10.0,153.3810303312333,True,1423.5576378294832,,0.27705750009045005,1
4.0,2.0,0.6,2.0,46.338282997140865,True,1415.0274081562106,,0.39425219991244376,1
4.0,2.0,0.6,3.0,69.50742449571129,True,1328.0985820565404,,0.3928781000431627,1
4.0,2.0,0.6,4.0,92.67656599428173,True,1302.4667479204643,,0.3905573000665754,1
4.0,2.0,0.6,5.0,115.84570749285217,True,1299.1239944389738,,0.3939924999140203,1
4.0,2.0,0.6,6.0,139.01484899142258,True,1306.0607358824946,,0.3962244000285864,1
4.0,2.0,0.6,8.0,185.35313198856346,True,1331.1472833762443,,0.395172200165689,1
4.0,2.0,0.6,10.0,231.69141498570434,True,1361.7616123374992,,0.4001183998771012,1
5.0,0.0,0.0,2.0,6.717922000080765,True,3499.827626154134,,0.13980979984626174,1
5.0,0.0,0.0,3.0,10.076883000121148,True,1441.7472607484308,,0.13912920001894236,1
5.0,0.0,0.0,4.0,13.43584400016153,True,1271.831958101227,,0.140166400000453,1
5.0,0.0,0.0,5.0,16.79480500020191,True,1276.813356734343,,0.13920950004830956,1
5.0,0.0,0.0,6.0,20.153766000242296,True,1310.3669752973285,,0.1372136001009494,1
5.0,0.0,0.0,8.0,26.87168800032306,True,1389.1294129182083,,0.14004690013825893,1
5.0,0.0,0.0,10.0,33.58961000040382,True,1462.4362690990931,,0.1402517999522388,1
5.0,0.0,0.15,2.0,6.98337456261114,True,3441.322757341623,,0.22660759999416769,1
5.0,0.0,0.15,3.0,10.475061843916711,True,1370.0614075457056,,0.22583919996395707,1
5.0,0.0,0.15,4.0,13.96674912522228,True,1263.3730760000105,,0.2251468999311328,1
5.0,0.0,0.15,5.0,17.458436406527852,True,1279.7778750138305,,0.22914379998110235,1
5.0,0.0,0.15,6.0,20.950123687833422,True,1316.4423942887959,,0.22883589984849095,1
5.0,0.0,0.15,8.0,27.93349825044456,True,1393.8058876750097,,0.2285735998302698,1
5.0,0.0,0.15,10.0,34.916872813055704,True,1463.0611694821046,,0.22853749990463257,1
5.0,0.0,0.3,2.0,7.234456509546097,True,2493.617719962268,,0.26881529996171594,1
5.0,0.0,0.3,3.0,10.851684764319145,True,1343.3693900829462,,0.27118810010142624,1
5.0,0.0,0.3,4.0,14.468913019092193,True,1270.585620929352,,0.2692631999962032,1
5.0,0.0,0.3,5.0,18.08614127386524,True,1294.5157513171582,,0.2704497999511659,1
5.0,0.0,0.3,6.0,21.70336952863829,True,1329.2243835795557,,0.2794910001102835,1
5.0,0.0,0.3,8.0,28.937826038184387,True,1395.8456019279604,,0.27184940013103187,1
5.0,0.0,0.3,10.0,36.17228254773048,True,1453.8332415236093,,0.2756974999792874,1
5.0,0.0,0.45,2.0,6.696740325815887,True,3436.280483371277,,0.37051640008576214,1
5.0,0.0,0.45,3.0,10.04511048872383,True,1419.0024590179055,,0.3622343000024557,1
5.0,0.0,0.45,4.0,13.393480651631775,True,1287.829089836774,,0.3612860001157969,1
